epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1513.67,1.24881,2.28067,1.46771,0.53119,0.42878,0.41633,0.22914,1.55952,3.05358,1.91271,0.000553351,0.000553351,0.000553351
2,3370.39,1.33973,1.86105,1.53739,0.4475,0.43385,0.36007,0.19178,1.76674,2.76402,2.05717,0.00108706,0.00108706,0.00108706
3,4864.38,1.35512,1.67587,1.54916,0.68324,0.5305,0.60388,0.35371,1.50487,1.92275,1.79937,0.00159876,0.00159876,0.00159876
4,13878.9,1.29622,1.56548,1.51004,0.67595,0.53688,0.60868,0.37822,1.49133,1.69007,1.78353,0.00156798,0.00156798,0.00156798
5,15245.1,1.25681,1.44367,1.47746,0.77953,0.66066,0.74124,0.49194,1.26845,1.40756,1.55849,0.00153497,0.00153497,0.00153497
6,16563.5,1.2041,1.35012,1.42975,0.79976,0.66958,0.75978,0.51926,1.2638,1.31292,1.5641,0.00150197,0.00150197,0.00150197
7,17883.7,1.16341,1.30263,1.41802,0.81973,0.65573,0.75931,0.51674,1.22974,1.31312,1.5585,0.00146896,0.00146896,0.00146896
8,19207.2,1.14673,1.23925,1.39141,0.85481,0.68314,0.79364,0.55183,1.19715,1.14154,1.51758,0.00143595,0.00143595,0.00143595
9,20532.7,1.11689,1.18362,1.38205,0.84791,0.72628,0.8168,0.57874,1.15609,1.06884,1.45905,0.00140295,0.00140295,0.00140295
10,21873.5,1.08996,1.13905,1.35705,0.87116,0.71995,0.82259,0.5904,1.12682,1.00414,1.44193,0.00136994,0.00136994,0.00136994
11,23265.4,1.07994,1.11813,1.35112,0.8764,0.72051,0.8373,0.59711,1.10117,0.99075,1.41815,0.00133693,0.00133693,0.00133693
12,24582.6,1.05823,1.09697,1.33081,0.85865,0.74539,0.84031,0.60463,1.08646,0.94829,1.40822,0.00130393,0.00130393,0.00130393
13,25897.4,1.05928,1.05624,1.33176,0.87419,0.75149,0.85214,0.61197,1.10024,0.95049,1.39958,0.00127092,0.00127092,0.00127092
14,27219.9,1.05084,1.03311,1.32082,0.88614,0.76166,0.86572,0.62154,1.08228,0.91861,1.37254,0.00123791,0.00123791,0.00123791
15,28536.8,1.02669,1.00902,1.30128,0.893,0.78804,0.88366,0.64844,1.02682,0.84876,1.34291,0.00120491,0.00120491,0.00120491
16,29864.2,1.01254,0.97214,1.28913,0.88312,0.79179,0.88248,0.63917,1.0375,0.85088,1.33133,0.0011719,0.0011719,0.0011719
17,31179.8,0.99693,0.96596,1.28646,0.85751,0.77923,0.87379,0.64131,1.03615,0.87414,1.34179,0.00113889,0.00113889,0.00113889
18,32492.4,0.99015,0.9603,1.27824,0.89115,0.81547,0.89343,0.6579,1.01514,0.79143,1.31928,0.00110589,0.00110589,0.00110589
19,33815.5,0.98254,0.93884,1.26984,0.89929,0.81653,0.89997,0.6632,1.01229,0.78909,1.31629,0.00107288,0.00107288,0.00107288
20,35131.7,0.98246,0.93165,1.27716,0.88948,0.82125,0.90699,0.65633,1.03424,0.81404,1.34945,0.00103987,0.00103987,0.00103987
21,36452,0.97952,0.94497,1.2697,0.91075,0.80077,0.89643,0.67345,0.97736,0.78392,1.2945,0.00100687,0.00100687,0.00100687
22,37773,0.95362,0.88306,1.25862,0.90838,0.83257,0.91213,0.68278,0.97336,0.73487,1.28367,0.000973861,0.000973861,0.000973861
23,39086.1,0.95058,0.87114,1.24761,0.91132,0.83274,0.91429,0.68921,0.95403,0.71379,1.28228,0.000940855,0.000940855,0.000940855
24,40400.5,0.93898,0.86509,1.24813,0.90554,0.83422,0.92012,0.70189,0.93411,0.70787,1.26174,0.000907848,0.000907848,0.000907848
25,41723.8,0.91582,0.82311,1.22729,0.90801,0.84823,0.93071,0.70502,0.93412,0.68569,1.24863,0.000874842,0.000874842,0.000874842
26,43034.9,0.92826,0.85489,1.24291,0.92229,0.81615,0.91305,0.6909,0.94077,0.73151,1.26686,0.000841835,0.000841835,0.000841835
27,44349.8,0.89771,0.81353,1.22096,0.91896,0.85225,0.93397,0.71021,0.9177,0.67474,1.23384,0.000808828,0.000808828,0.000808828
28,45667.6,0.9169,0.80849,1.22438,0.92174,0.85677,0.93497,0.72583,0.88791,0.63188,1.21728,0.000775822,0.000775822,0.000775822
